news_id	key_word	start_date	end_date	news_author
193802	S & T IN	2016/7/21 0:00	2016/7/24 0:00	Austen Hufford
211128	GILEAD SCIENCES	2016/7/25 0:00	2016/7/28 0:00	"Jonathan D. Rockoff, Tess Stynes"
314900	CONAGRA BRANDS	2015/12/22 0:00	2015/12/25 0:00	Julie Jargon
267243	CHEVRON	2016/1/29 0:00	2016/2/1 0:00	"Bradley Olson, Erin Ailworth"
179283	NOW	2016/2/23 0:00	2016/2/26 0:00	Paul Ziobro
247630	ALLIANCE DATA	2013/1/31 0:00	2013/2/3 0:00	"Jeanne Whalen, Jessica Hodgson"
267286	US	2013/1/16 0:00	2013/1/19 0:00	Greg Bensinger
257067	S&P GLOBAL	2016/7/28 0:00	2016/7/31 0:00	"Alexa Liautaud, Sam Schechner"
267309	BIG LOTS	2016/3/4 0:00	2016/3/7 0:00	Austen Hufford
404443	CAMERON INTERNATIONAL	2014/1/30 0:00	2014/2/2 0:00	Doug Cameron
243167	S & T IN	2016/1/26 0:00	2016/1/29 0:00	Anne Steele
116060	POST	2015/5/7 0:00	2015/5/10 0:00	Angela Chen
267373	CA	2015/1/20 0:00	2015/1/23 0:00	Maria Armental
288951	BOEING CO	2016/10/26 0:00	2016/10/29 0:00	"Doug Cameron, Mike Esterl"
240694	POST	2018/2/1 0:00	2018/2/4 0:00	Bradley Olson
273202	WINNEBAGO INDUSTRIES	2016/6/22 0:00	2016/6/25 0:00	Brittney Laryea
73012	SONIC AUTOMOTIVE	2015/4/21 0:00	2015/4/24 0:00	"Anne Steele, Christina Rogers"
256745	S & T IN	2015/7/21 0:00	2015/7/24 0:00	Lisa Beilfuss
369792	MACY'S	2015/11/11 0:00	2015/11/14 0:00	Tess Stynes
105296	S & T IN	2014/1/28 0:00	2014/1/31 0:00	By Neetha Mahadeven
306518	S & T IN	2013/7/23 0:00	2013/7/26 0:00	Mike Esterl
331640	CITIGROUP	2013/7/15 0:00	2013/7/18 0:00	Shayndi Raice
298696	UNITED INSURANCE	2014/4/30 0:00	2014/5/3 0:00	"Anna Wilde Mathews, Ben Fox Rubin"
255400	S & T IN	2015/7/21 0:00	2015/7/24 0:00	Neil Haggerty
267513	REGIONS FINANCIAL	2017/10/24 0:00	2017/10/27 0:00	Chester Dawson
202610	PACKAGING	2014/4/22 0:00	2014/4/25 0:00	Michael Calia
216528	AT&T	2017/10/24 0:00	2017/10/27 0:00	Austen Hufford
68998	BLOCK H & R	2016/6/9 0:00	2016/6/12 0:00	Tess Stynes
